Bild uuid,Gruppe,Deutscher Artikelname,Nettogewicht,Preis in €,Eiweiß in g (auf 100g),Eiweiß in g (Pro Stück),Russischer Artikelname
942be163-21df-4949-8634-720a784951c4,PROMIN,"PROMIN, Heiße Frühstück Apfel-Zimt",336g,12.00   ,0.1,,"Горячий завтрак, вкус Яблоко корица, 6 пакетиков* 57 гр, просто размешать с горячей водой  "
9a9ecb14-9364-4e5a-a9ee-712c403a05dc,PROMIN,"PROMIN, Pudding Vanilla",276g,5.90   ,0.1,,"Рисовый пуддинг, эдентичен рисовой каше, Ваниль, 4 пакетиков* 69 гр"
06195278-8d30-40e3-aeee-48a8c647d252,PROMIN,"PROMIN, Pudding Apfel",276g,5.90   ,0.1,,"Рисовый пуддинг, эдентичен рисовой каше, Яблоко, 4 пакетиков* 69 гр"
818c2055-330b-4d9a-be34-58e755cd78dc,PROMIN,"PROMIN, Pudding Erdbeere ",276g,5.90   ,0.2,,"Рисовый пуддинг, эдентичен рисовой каше, Клубника,  4 пакетиков* 69 гр"
1f6422ae-c6c6-41d1-b8a6-d4abee6055e6,PROMIN,"PROMIN, Pudding Banana",276g,5.90   ,0.1,,"Рисовый пуддинг, эдентичен рисовой каше, Банан,  4 пакетиков* 69 гр"
c4b78e0c-1069-4395-8559-29618b56634f,Schott,Kartoffelwürstchen  6 St,230g,9.00   ,4.9,,Сосиски фирмы В.Шотт 6 штук
7e046d95-5c66-459b-95cd-e4f650495eef,Schott,Kartoffelwurst Konserve PKU,200g,6.50   ,5.3,,Картофельная колбаса 
4db5f5b8-c3a4-4614-ad6e-75b8501f60ad,Schott,Kartoffelwurst mit Paprikastr.Konserve PKU,200g,6.00   ,5.8,,Картофельная колбаса с паприкой 
92b0e06c-c476-4f53-b337-fb5e53ab506c,Schott,Leberwurst Konserve PKU,200g,6.00   ,7.9,,Печеночная колбаса
aa69e3bc-57b1-413d-b42e-9292a6d480ca,Schott,Blutwurst Konserve PKU,200g,6.00   ,7.1,,Кровяная колбаса
44247186-0448-4ec3-9301-567ad8d321bd,Huber,Schokovani,80g,4.30   ,0.7,,Шоколад 
e2bbba63-3046-483d-becf-ddab94b7826c,Huber,Kokosina,80g,4.60   ,1.6,,Шоколад с кокосовой стружкой
d556b587-110d-4d02-b69f-2768374f9de8,Huber,Knusperkrossi,80g,4.60   ,2.0,,Шоколад с хлопьями
0775200f-3ca0-4fa5-94f8-d064c083bc33,Huber,Cookilade,75g,6.10   ,1.1,,Шоколад с кусочками печенья
9f88b57d-39bb-40f2-a7bc-147d44d822d8,Huber,Schoko-Lutscher,80g,5.20   ,1.1,,Шоколадные фигурки на палочке
571e7975-a7cf-444d-87d9-ae6d1b27c783,Huber,Katzenzungen,80g,5.20   ,1.1,,"Шоколад ""кискины язычки"""
5f609f25-92fe-414d-a122-6d10d05853b7,Huber,Schokoladen-Meeresfrüchte,80g,6.00   ,1.1,,"Шоколад ""морские фигурки"""
39ebbf4b-aa2b-4618-86b4-83f0546225ee,Huber,Weinachtsschokolade,75g,5.50   ,1.1,,Шоколад с корицей и вкусом Рождества
f6afa966-489a-44ab-9ba2-18d35ab6ff95,Huber,Nikolaus-Lutscher,80g,5.20   ,1.1,,Шоколадные фигурки Деда Мороза на палочке (сезонный артикль)
5689ee2a-855f-4254-baaf-42df3bc48f2f,Huber,Schokoweihnachtssterne,80g,5.20   ,1.1,,Шоколадные Звездочки (сезонный артикль)
a57ec49f-ea82-48a1-a8ae-70eb4ab5ba5b,Huber,Schoko-Weihnachtsmann,170g,9.85   ,1.1,,Шоколадный Дед Мороз (сезонный артикль)
a8a5016e-6ee7-4cd6-b8a6-f1b3ae82f3ee,Huber,Weihnachtskalender,100g,9.85   ,1.1,,Шоколадный календарь (сезонный артикль)
bdd08e7f-123e-48f1-8a67-bd9aa62d151a,Huber,Schoko-Eier,50g,4.00   ,1.1,,Шоколадные Пасхальные яйца (сезонный артикль) 
a9f54ffa-353b-44c5-8bf4-0a058ae029bd,Huber,Schoko-Osterhase,140g,9.45   ,1.1,,Шоколадный Пасхальный Заяц (сезонный артикль)
f4bcb55c-efc9-4498-a183-1dfa639ea81d,Huber,Lebkuchennikolaus,175g,8.00   ,0.3,,Шоколадный пряничный Дед Мороз
1fa51ed0-b56e-4e4f-8283-e68b7e12a076,Huber,Lebkuchen,200g,9.85   ,0.3,,Шоколадный пряник
01dc4df9-d960-49a2-ab0e-4a692319eca8,Huber,Lebkuchenplätzchen,200g,8.60   ,0.3,,Шоколадно- пряничное печенье
91d16b3c-be91-4680-9035-fb9ce8a085dc,Huber,Mürbteigtortelettes,250g,10.45   ,1.0,,Тарталетки в шокоглазури
ab316328-982b-4f9d-9e8b-e44eee4ecdb7,Huber,Sandspritzgebäck,200g,9.20   ,1.0,,Песочное печенье типа курабье
553303ca-6684-44e4-ae98-1af27539dd3a,Huber,Spitzbuben,250g,10.45   ,1.0,,Печенье двойное с повидлом
3a6cad9c-1293-4753-8103-4bade99d87ff,Huber,Spekulatius,250g,8.60   ,1.0,,Печенье песочное с шоколадом
82da770f-6711-4c01-8db1-12ba00208443,Huber,Teegebäck/Weinachtsmishung,200g,11.70   ,0.6,,Печенье ассорти 
ba874587-f248-43ce-be7e-91c4687c8889,Huber,Filinchen,75g,2.49   ,0.5,,"Хлебцы хрустящие, не воздушные"
8ba51243-7da6-45db-8c49-794eaf6ba69a,Huber,Salzsticks,70g,3.70   ,0.7,,Соленые палочки
77221f0b-5375-4ab8-a303-d6365df107e3,Huber,Joghurt-Erstzpulver,360g,12.60   ,0.0,,Заменитель йогурта
6a64ef29-abf1-4b59-a3ee-dafdab727f30,Huber,Grundmehlmischung,1000g,10.15   ,0.3,,Мука
9a1b5ab3-7043-4527-9c0d-1555c11d616b,Huber,Biskuitmehl-Mischung,1000g,10.15   ,0.5,,Бисквитная мука
320f6692-13bb-4a66-9f47-856d62b3960e,Huber,Oberpfälzer Molkebrotmischung,500g,7.99   ,0.5,,"Мука для ""кислого"" теста, очень хороша для пиццы"
1396d82c-eefb-40b0-802d-fbe51a7dd7a6,Huber,Paniermehl,250g,6.15   ,0.5,,Панировочные сухари
